date,DAU
2025-04-17,56
2025-04-18,64
2025-04-19,35
2025-04-20,15
2025-04-21,18
2025-04-22,33
2025-04-23,27
2025-04-24,57
2025-04-25,38
2025-04-26,16
2025-04-27,33
2025-04-28,27
2025-04-29,44
2025-04-30,31
2025-05-01,3
2025-05-02,3
2025-05-03,6
2025-05-04,16
2025-05-05,17
2025-05-06,26
2025-05-07,80
2025-05-08,142
2025-05-09,86
2025-05-10,22
2025-05-11,17
2025-05-12,50
2025-05-13,49
2025-05-14,88
2025-05-15,163
2025-05-16,1
