周,周对话总时长 (分钟),累积对话总时长 (分钟)
2024-35,5370.2,5370.2
2024-36,9897.483333333334,15267.683333333334
2024-37,9418.066666666668,24685.75
2024-38,9435.566666666668,34121.316666666666
2024-39,805.85,34927.166666666664
2024-40,345.6333333333333,35272.799999999996
2024-41,187.56666666666666,35460.36666666666
2024-42,373.5833333333333,35833.95
2024-43,5434.983333333334,41268.933333333334
2024-44,406.98333333333335,41675.916666666664
2024-45,831.9333333333333,42507.85
2024-46,1841.4666666666667,44349.316666666666
2024-47,4152.283333333334,48501.6
2024-48,3199.4333333333334,51701.03333333333
2024-49,1965.4,53666.433333333334
2024-50,782.5,54448.933333333334
2024-51,1685.4666666666667,56134.4
2024-52,72.68333333333334,56207.083333333336
2025-00,7644.716666666666,63851.8
2025-01,129.73333333333332,63981.53333333333
2025-02,1715.0166666666667,65696.55
2025-03,532.7666666666667,66229.31666666667
2025-05,95.73333333333333,66325.05
2025-06,105.66666666666666,66430.71666666667
2025-07,689.3333333333334,67120.05
2025-08,1248.25,68368.3
2025-09,2438.6,70806.90000000001
2025-10,2787.983333333333,73594.88333333335
2025-11,3006.6,76601.48333333335
2025-12,3530.8333333333335,80132.31666666668
2025-13,1248.1333333333334,81380.45000000001
2025-14,1515.3,82895.75000000001
2025-15,2149.1666666666665,85044.91666666669
2025-16,1633.6333333333334,86678.55000000002
2025-17,2626.05,89304.60000000002
2025-18,5371.7,94676.30000000002
2025-19,7575.916666666667,102252.21666666669
2025-20,9803.216666666667,112055.43333333335
2025-21,11649.9,123705.33333333334
