周,周对话总时长 (分钟),累积对话总时长 (分钟)
2024-35,5369.4,5369.4
2024-36,9897.483333333334,15266.883333333333
2024-37,9417.55,24684.433333333334
2024-38,9435.566666666668,34120.0
2024-39,805.85,34925.85
2024-40,345.6333333333333,35271.48333333333
2024-41,187.56666666666666,35459.049999999996
2024-42,373.5833333333333,35832.63333333333
2024-43,5434.983333333334,41267.61666666667
2024-44,406.98333333333335,41674.6
2024-45,831.9333333333333,42506.53333333333
2024-46,1841.4666666666667,44348.0
2024-47,4152.283333333334,48500.28333333333
2024-48,3199.4333333333334,51699.71666666667
2024-49,1965.4,53665.11666666667
2024-50,782.5,54447.61666666667
2024-51,1685.4666666666667,56133.083333333336
2024-52,72.68333333333334,56205.76666666667
2025-00,7644.716666666666,63850.48333333334
2025-01,122.41666666666667,63972.9
2025-02,1713.5666666666666,65686.46666666667
2025-03,532.7666666666667,66219.23333333334
2025-05,95.73333333333333,66314.96666666667
2025-06,105.66666666666666,66420.63333333335
2025-07,689.3333333333334,67109.96666666667
2025-08,1248.25,68358.21666666667
2025-09,2438.6,70796.81666666668
2025-10,2787.983333333333,73584.80000000002
2025-11,3006.6,76591.40000000002
2025-12,3531.7,80123.10000000002
2025-13,1248.1333333333334,81371.23333333335
2025-14,1515.3,82886.53333333335
2025-15,2149.1666666666665,85035.70000000003
2025-16,1633.6333333333334,86669.33333333336
2025-17,2626.05,89295.38333333336
2025-18,5371.7,94667.08333333336
2025-19,5037.533333333334,99704.6166666667
