周,场景,周活跃用户数 (WAU)
2024-52,瓷砖,0.0
2025-00,瓷砖,0.0
2025-01,瓷砖,0.0
2025-02,瓷砖,1.0
2025-03,瓷砖,0.0
2025-05,瓷砖,0.0
2025-06,瓷砖,0.0
2025-07,瓷砖,0.0
2025-08,瓷砖,0.0
2025-09,瓷砖,0.0
2025-10,瓷砖,0.0
2025-11,瓷砖,0.0
2025-12,瓷砖,0.0
2025-13,瓷砖,0.0
2025-14,瓷砖,0.0
2025-15,瓷砖,0.0
2025-16,瓷砖,0.0
2025-17,瓷砖,0.0
2025-18,瓷砖,0.0
2025-19,瓷砖,0.0
2024-35,线下带看,0.0
2024-36,线下带看,0.0
2024-37,线下带看,0.0
2024-38,线下带看,0.0
2024-39,线下带看,0.0
2024-40,线下带看,0.0
2024-41,线下带看,0.0
2024-42,线下带看,0.0
2024-43,线下带看,0.0
2024-44,线下带看,0.0
2024-45,线下带看,0.0
2024-46,线下带看,4.0
2024-47,线下带看,0.0
2024-48,线下带看,1.0
2024-49,线下带看,0.0
2024-50,线下带看,0.0
2024-51,线下带看,0.0
2024-52,线下带看,0.0
2025-00,线下带看,11.0
2025-01,线下带看,0.0
2025-02,线下带看,21.0
2025-03,线下带看,13.0
2025-05,线下带看,3.0
2025-06,线下带看,1.0
2025-07,线下带看,11.0
2025-08,线下带看,3.0
2025-09,线下带看,46.0
2025-10,线下带看,56.0
2025-11,线下带看,32.0
2025-12,线下带看,55.0
2025-13,线下带看,27.0
2025-14,线下带看,34.0
2025-15,线下带看,36.0
2025-16,线下带看,18.0
2025-17,线下带看,6.0
2025-18,线下带看,9.0
2025-19,线下带看,27.0
2024-35,量房到店,119.0
2024-36,量房到店,234.0
2024-37,量房到店,200.0
2024-38,量房到店,189.0
2024-39,量房到店,38.0
2024-40,量房到店,24.0
2024-41,量房到店,21.0
2024-42,量房到店,16.0
2024-43,量房到店,65.0
2024-44,量房到店,20.0
2024-45,量房到店,21.0
2024-46,量房到店,44.0
2024-47,量房到店,81.0
2024-48,量房到店,67.0
2024-49,量房到店,37.0
2024-50,量房到店,24.0
2024-51,量房到店,18.0
2024-52,量房到店,4.0
2025-00,量房到店,11.0
2025-01,量房到店,11.0
2025-02,量房到店,20.0
2025-03,量房到店,13.0
2025-05,量房到店,3.0
2025-06,量房到店,2.0
2025-07,量房到店,17.0
2025-08,量房到店,12.0
2025-09,量房到店,22.0
2025-10,量房到店,27.0
2025-11,量房到店,23.0
2025-12,量房到店,13.0
2025-13,量房到店,15.0
2025-14,量房到店,1.0
2025-15,量房到店,1.0
2025-16,量房到店,5.0
2025-17,量房到店,21.0
